#ies_format_version: 1.0
#file: 20251209_11000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 7
#timestep_sec: 11.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	str1_cell1_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell1)
#005;	str1_cell1_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell1)
#006;	str1_cell1_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell1)
#007;	str1_cell2_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell2)
#008;	str1_cell2_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell2)
#009;	str1_cell2_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell2)
YYYYMMDD;	hhmmss;	unixtimestamp;	str1_cell1_R;	str1_cell1_V;	str1_cell1_T;	str1_cell2_R;	str1_cell2_V;	str1_cell2_T
20251209;	092216;	1765246936.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092227;	1765246947.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092238;	1765246958.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092249;	1765246969.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092300;	1765246980.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092311;	1765246991.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092322;	1765247002.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092333;	1765247013.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092344;	1765247024.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092355;	1765247035.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092406;	1765247046.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092417;	1765247057.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092428;	1765247068.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092439;	1765247079.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
